# art of sim rally - steering force curve conformance vector
# generated by tools/force-vector from src/ArtOfSimRally.Mod/ForceCurve.cs
# mod 0.2.2 defaults: FyReference=11500 gain=1 (Strength 50) invert=false ideal_deg=8.5
# fade 3->12 km/h (Unity SmoothStep, cubic), trail 1.0 -> 0.6 at twice ideal slip
# 'normalised' is pre-smoothing, -1..1. 'device' is (int)(normalised * 10000),
# the DirectInput constant-force magnitude actually sent.
fy_total_n,abs_slip_deg,ideal_deg,speed_kmh,trail,normalised,device
500,17,8.5,40,0.6,0.02608696,260
500,17,8.5,90,0.6,0.02608696,260
500,17,8.5,130,0.6,0.02608696,260
500,21.25,8.5,0,0.6,0,0
500,21.25,8.5,3,0.6,0,0
500,21.25,8.5,5,0.6,0.003292181,32
500,21.25,8.5,7.5,0.6,0.01304348,130
500,21.25,8.5,12,0.6,0.02608696,260
500,21.25,8.5,40,0.6,0.02608696,260
500,21.25,8.5,90,0.6,0.02608696,260
500,21.25,8.5,130,0.6,0.02608696,260
500,29,8.5,0,0.6,0,0
500,29,8.5,3,0.6,0,0
500,29,8.5,5,0.6,0.003292181,32
500,29,8.5,7.5,0.6,0.01304348,130
500,29,8.5,12,0.6,0.02608696,260
500,29,8.5,40,0.6,0.02608696,260
500,29,8.5,90,0.6,0.02608696,260
500,29,8.5,130,0.6,0.02608696,260
500,45,8.5,0,0.6,0,0
500,45,8.5,3,0.6,0,0
500,45,8.5,5,0.6,0.003292181,32
500,45,8.5,7.5,0.6,0.01304348,130
500,45,8.5,12,0.6,0.02608696,260
500,45,8.5,40,0.6,0.02608696,260
500,45,8.5,90,0.6,0.02608696,260
500,45,8.5,130,0.6,0.02608696,260
1500,0,8.5,0,1,0,0
1500,0,8.5,3,1,0,0
1500,0,8.5,5,1,0.0164609,164
1500,0,8.5,7.5,1,0.06521739,652
1500,0,8.5,12,1,0.1304348,1304
1500,0,8.5,40,1,0.1304348,1304
1500,0,8.5,90,1,0.1304348,1304
1500,0,8.5,130,1,0.1304348,1304
1500,4.25,8.5,0,0.9,0,0
1500,4.25,8.5,3,0.9,0,0
1500,4.25,8.5,5,0.9,0.01481481,148
1500,4.25,8.5,7.5,0.9,0.05869565,586
1500,4.25,8.5,12,0.9,0.1173913,1173
1500,4.25,8.5,40,0.9,0.1173913,1173
1500,4.25,8.5,90,0.9,0.1173913,1173
1500,4.25,8.5,130,0.9,0.1173913,1173
1500,8.5,8.5,0,0.8,0,0
1500,8.5,8.5,3,0.8,0,0
1500,8.5,8.5,5,0.8,0.01316872,131
1500,8.5,8.5,7.5,0.8,0.05217391,521
1500,8.5,8.5,12,0.8,0.1043478,1043
1500,8.5,8.5,40,0.8,0.1043478,1043
1500,8.5,8.5,90,0.8,0.1043478,1043
1500,8.5,8.5,130,0.8,0.1043478,1043
1500,12,8.5,0,0.7176471,0,0
1500,12,8.5,3,0.7176471,0,0
1500,12,8.5,5,0.7176471,0.01181312,118
1500,12,8.5,7.5,0.7176471,0.04680307,468
1500,12,8.5,12,0.7176471,0.09360614,936
1500,12,8.5,40,0.7176471,0.09360614,936
1500,12,8.5,90,0.7176471,0.09360614,936
1500,12,8.5,130,0.7176471,0.09360614,936
1500,17,8.5,0,0.6,0,0
1500,17,8.5,3,0.6,0,0
1500,17,8.5,5,0.6,0.009876544,98
1500,17,8.5,7.5,0.6,0.03913044,391
1500,17,8.5,12,0.6,0.07826088,782
1500,17,8.5,40,0.6,0.07826088,782
1500,17,8.5,90,0.6,0.07826088,782
1500,17,8.5,130,0.6,0.07826088,782
1500,21.25,8.5,0,0.6,0,0
1500,21.25,8.5,3,0.6,0,0
1500,21.25,8.5,5,0.6,0.009876544,98
1500,21.25,8.5,7.5,0.6,0.03913044,391
1500,21.25,8.5,12,0.6,0.07826088,782
1500,21.25,8.5,40,0.6,0.07826088,782
1500,21.25,8.5,90,0.6,0.07826088,782
1500,21.25,8.5,130,0.6,0.07826088,782
1500,29,8.5,0,0.6,0,0
1500,29,8.5,3,0.6,0,0
1500,29,8.5,5,0.6,0.009876544,98
1500,29,8.5,7.5,0.6,0.03913044,391
1500,29,8.5,12,0.6,0.07826088,782
1500,29,8.5,40,0.6,0.07826088,782
1500,29,8.5,90,0.6,0.07826088,782
1500,29,8.5,130,0.6,0.07826088,782
1500,45,8.5,0,0.6,0,0
1500,45,8.5,3,0.6,0,0
1500,45,8.5,5,0.6,0.009876544,98
1500,45,8.5,7.5,0.6,0.03913044,391
1500,45,8.5,12,0.6,0.07826088,782
1500,45,8.5,40,0.6,0.07826088,782
1500,45,8.5,90,0.6,0.07826088,782
1500,45,8.5,130,0.6,0.07826088,782
3000,0,8.5,0,1,0,0
3000,0,8.5,3,1,0,0
3000,0,8.5,5,1,0.03292181,329
3000,0,8.5,7.5,1,0.1304348,1304
3000,0,8.5,12,1,0.2608696,2608
3000,0,8.5,40,1,0.2608696,2608
3000,0,8.5,90,1,0.2608696,2608
3000,0,8.5,130,1,0.2608696,2608
3000,4.25,8.5,0,0.9,0,0
3000,4.25,8.5,3,0.9,0,0
3000,4.25,8.5,5,0.9,0.02962963,296
3000,4.25,8.5,7.5,0.9,0.1173913,1173
3000,4.25,8.5,12,0.9,0.2347826,2347
3000,4.25,8.5,40,0.9,0.2347826,2347
3000,4.25,8.5,90,0.9,0.2347826,2347
3000,4.25,8.5,130,0.9,0.2347826,2347
3000,8.5,8.5,0,0.8,0,0
3000,8.5,8.5,3,0.8,0,0
3000,8.5,8.5,5,0.8,0.02633745,263
3000,8.5,8.5,7.5,0.8,0.1043478,1043
3000,8.5,8.5,12,0.8,0.2086957,2086
3000,8.5,8.5,40,0.8,0.2086957,2086
3000,8.5,8.5,90,0.8,0.2086957,2086
3000,8.5,8.5,130,0.8,0.2086957,2086
3000,12,8.5,0,0.7176471,0,0
3000,12,8.5,3,0.7176471,0,0
3000,12,8.5,5,0.7176471,0.02362624,236
3000,12,8.5,7.5,0.7176471,0.09360614,936
3000,12,8.5,12,0.7176471,0.1872123,1872
3000,12,8.5,40,0.7176471,0.1872123,1872
3000,12,8.5,90,0.7176471,0.1872123,1872
3000,12,8.5,130,0.7176471,0.1872123,1872
3000,17,8.5,0,0.6,0,0
3000,17,8.5,3,0.6,0,0
3000,17,8.5,5,0.6,0.01975309,197
3000,17,8.5,7.5,0.6,0.07826088,782
3000,17,8.5,12,0.6,0.1565218,1565
3000,17,8.5,40,0.6,0.1565218,1565
3000,17,8.5,90,0.6,0.1565218,1565
3000,17,8.5,130,0.6,0.1565218,1565
3000,21.25,8.5,0,0.6,0,0
3000,21.25,8.5,3,0.6,0,0
3000,21.25,8.5,5,0.6,0.01975309,197
3000,21.25,8.5,7.5,0.6,0.07826088,782
3000,21.25,8.5,12,0.6,0.1565218,1565
3000,21.25,8.5,40,0.6,0.1565218,1565
3000,21.25,8.5,90,0.6,0.1565218,1565
3000,21.25,8.5,130,0.6,0.1565218,1565
3000,29,8.5,0,0.6,0,0
3000,29,8.5,3,0.6,0,0
3000,29,8.5,5,0.6,0.01975309,197
3000,29,8.5,7.5,0.6,0.07826088,782
3000,29,8.5,12,0.6,0.1565218,1565
3000,29,8.5,40,0.6,0.1565218,1565
3000,29,8.5,90,0.6,0.1565218,1565
3000,29,8.5,130,0.6,0.1565218,1565
3000,45,8.5,0,0.6,0,0
3000,45,8.5,3,0.6,0,0
3000,45,8.5,5,0.6,0.01975309,197
3000,45,8.5,7.5,0.6,0.07826088,782
3000,45,8.5,12,0.6,0.1565218,1565
3000,45,8.5,40,0.6,0.1565218,1565
3000,45,8.5,90,0.6,0.1565218,1565
3000,45,8.5,130,0.6,0.1565218,1565
5750,0,8.5,0,1,0,0
5750,0,8.5,3,1,0,0
5750,0,8.5,5,1,0.06310014,631
5750,0,8.5,7.5,1,0.25,2500
5750,0,8.5,12,1,0.5,5000
5750,0,8.5,40,1,0.5,5000
5750,0,8.5,90,1,0.5,5000
5750,0,8.5,130,1,0.5,5000
5750,4.25,8.5,0,0.9,0,0
5750,4.25,8.5,3,0.9,0,0
5750,4.25,8.5,5,0.9,0.05679012,567
5750,4.25,8.5,7.5,0.9,0.225,2250
5750,4.25,8.5,12,0.9,0.45,4500
5750,4.25,8.5,40,0.9,0.45,4500
5750,4.25,8.5,90,0.9,0.45,4500
5750,4.25,8.5,130,0.9,0.45,4500
5750,8.5,8.5,0,0.8,0,0
5750,8.5,8.5,3,0.8,0,0
5750,8.5,8.5,5,0.8,0.05048011,504
5750,8.5,8.5,7.5,0.8,0.2,2000
5750,8.5,8.5,12,0.8,0.4,4000
5750,8.5,8.5,40,0.8,0.4,4000
5750,8.5,8.5,90,0.8,0.4,4000
5750,8.5,8.5,130,0.8,0.4,4000
5750,12,8.5,0,0.7176471,0,0
5750,12,8.5,3,0.7176471,0,0
5750,12,8.5,5,0.7176471,0.04528363,452
5750,12,8.5,7.5,0.7176471,0.1794118,1794
5750,12,8.5,12,0.7176471,0.3588235,3588
5750,12,8.5,40,0.7176471,0.3588235,3588
5750,12,8.5,90,0.7176471,0.3588235,3588
5750,12,8.5,130,0.7176471,0.3588235,3588
5750,17,8.5,0,0.6,0,0
5750,17,8.5,3,0.6,0,0
5750,17,8.5,5,0.6,0.03786008,378
5750,17,8.5,7.5,0.6,0.15,1500
5750,17,8.5,12,0.6,0.3,3000
5750,17,8.5,40,0.6,0.3,3000
5750,17,8.5,90,0.6,0.3,3000
5750,17,8.5,130,0.6,0.3,3000
5750,21.25,8.5,0,0.6,0,0
5750,21.25,8.5,3,0.6,0,0
5750,21.25,8.5,5,0.6,0.03786008,378
5750,21.25,8.5,7.5,0.6,0.15,1500
5750,21.25,8.5,12,0.6,0.3,3000
5750,21.25,8.5,40,0.6,0.3,3000
5750,21.25,8.5,90,0.6,0.3,3000
5750,21.25,8.5,130,0.6,0.3,3000
5750,29,8.5,0,0.6,0,0
5750,29,8.5,3,0.6,0,0
5750,29,8.5,5,0.6,0.03786008,378
5750,29,8.5,7.5,0.6,0.15,1500
5750,29,8.5,12,0.6,0.3,3000
5750,29,8.5,40,0.6,0.3,3000
5750,29,8.5,90,0.6,0.3,3000
5750,29,8.5,130,0.6,0.3,3000
5750,45,8.5,0,0.6,0,0
5750,45,8.5,3,0.6,0,0
5750,45,8.5,5,0.6,0.03786008,378
5750,45,8.5,7.5,0.6,0.15,1500
5750,45,8.5,12,0.6,0.3,3000
5750,45,8.5,40,0.6,0.3,3000
5750,45,8.5,90,0.6,0.3,3000
5750,45,8.5,130,0.6,0.3,3000
8000,0,8.5,0,1,0,0
8000,0,8.5,3,1,0,0
8000,0,8.5,5,1,0.0877915,877
8000,0,8.5,7.5,1,0.3478261,3478
8000,0,8.5,12,1,0.6956522,6956
8000,0,8.5,40,1,0.6956522,6956
8000,0,8.5,90,1,0.6956522,6956
8000,0,8.5,130,1,0.6956522,6956
8000,4.25,8.5,0,0.9,0,0
8000,4.25,8.5,3,0.9,0,0
8000,4.25,8.5,5,0.9,0.07901234,790
8000,4.25,8.5,7.5,0.9,0.3130435,3130
8000,4.25,8.5,12,0.9,0.626087,6260
8000,4.25,8.5,40,0.9,0.626087,6260
8000,4.25,8.5,90,0.9,0.626087,6260
8000,4.25,8.5,130,0.9,0.626087,6260
8000,8.5,8.5,0,0.8,0,0
8000,8.5,8.5,3,0.8,0,0
8000,8.5,8.5,5,0.8,0.0702332,702
8000,8.5,8.5,7.5,0.8,0.2782609,2782
8000,8.5,8.5,12,0.8,0.5565217,5565
8000,8.5,8.5,40,0.8,0.5565217,5565
8000,8.5,8.5,90,0.8,0.5565217,5565
8000,8.5,8.5,130,0.8,0.5565217,5565
8000,12,8.5,0,0.7176471,0,0
8000,12,8.5,3,0.7176471,0,0
8000,12,8.5,5,0.7176471,0.06300331,630
8000,12,8.5,7.5,0.7176471,0.2496164,2496
8000,12,8.5,12,0.7176471,0.4992328,4992
8000,12,8.5,40,0.7176471,0.4992328,4992
8000,12,8.5,90,0.7176471,0.4992328,4992
8000,12,8.5,130,0.7176471,0.4992328,4992
8000,17,8.5,0,0.6,0,0
8000,17,8.5,3,0.6,0,0
8000,17,8.5,5,0.6,0.0526749,526
8000,17,8.5,7.5,0.6,0.2086957,2086
8000,17,8.5,12,0.6,0.4173913,4173
8000,17,8.5,40,0.6,0.4173913,4173
8000,17,8.5,90,0.6,0.4173913,4173
8000,17,8.5,130,0.6,0.4173913,4173
8000,21.25,8.5,0,0.6,0,0
8000,21.25,8.5,3,0.6,0,0
8000,21.25,8.5,5,0.6,0.0526749,526
8000,21.25,8.5,7.5,0.6,0.2086957,2086
8000,21.25,8.5,12,0.6,0.4173913,4173
8000,21.25,8.5,40,0.6,0.4173913,4173
8000,21.25,8.5,90,0.6,0.4173913,4173
8000,21.25,8.5,130,0.6,0.4173913,4173
8000,29,8.5,0,0.6,0,0
8000,29,8.5,3,0.6,0,0
8000,29,8.5,5,0.6,0.0526749,526
8000,29,8.5,7.5,0.6,0.2086957,2086
8000,29,8.5,12,0.6,0.4173913,4173
8000,29,8.5,40,0.6,0.4173913,4173
8000,29,8.5,90,0.6,0.4173913,4173
8000,29,8.5,130,0.6,0.4173913,4173
8000,45,8.5,0,0.6,0,0
8000,45,8.5,3,0.6,0,0
8000,45,8.5,5,0.6,0.0526749,526
8000,45,8.5,7.5,0.6,0.2086957,2086
8000,45,8.5,12,0.6,0.4173913,4173
8000,45,8.5,40,0.6,0.4173913,4173
8000,45,8.5,90,0.6,0.4173913,4173
8000,45,8.5,130,0.6,0.4173913,4173
11500,0,8.5,0,1,0,0
11500,0,8.5,3,1,0,0
11500,0,8.5,5,1,0.1262003,1262
11500,0,8.5,7.5,1,0.5,5000
11500,0,8.5,12,1,1,10000
11500,0,8.5,40,1,1,10000
11500,0,8.5,90,1,1,10000
11500,0,8.5,130,1,1,10000
11500,4.25,8.5,0,0.9,0,0
11500,4.25,8.5,3,0.9,0,0
11500,4.25,8.5,5,0.9,0.1135802,1135
11500,4.25,8.5,7.5,0.9,0.45,4500
11500,4.25,8.5,12,0.9,0.9,9000
11500,4.25,8.5,40,0.9,0.9,9000
11500,4.25,8.5,90,0.9,0.9,9000
11500,4.25,8.5,130,0.9,0.9,9000
11500,8.5,8.5,0,0.8,0,0
11500,8.5,8.5,3,0.8,0,0
11500,8.5,8.5,5,0.8,0.1009602,1009
11500,8.5,8.5,7.5,0.8,0.4,4000
11500,8.5,8.5,12,0.8,0.8,8000
11500,8.5,8.5,40,0.8,0.8,8000
11500,8.5,8.5,90,0.8,0.8,8000
11500,8.5,8.5,130,0.8,0.8,8000
11500,12,8.5,0,0.7176471,0,0
11500,12,8.5,3,0.7176471,0,0
11500,12,8.5,5,0.7176471,0.09056726,905
11500,12,8.5,7.5,0.7176471,0.3588235,3588
11500,12,8.5,12,0.7176471,0.7176471,7176
11500,12,8.5,40,0.7176471,0.7176471,7176
11500,12,8.5,90,0.7176471,0.7176471,7176
11500,12,8.5,130,0.7176471,0.7176471,7176
11500,17,8.5,0,0.6,0,0
11500,17,8.5,3,0.6,0,0
11500,17,8.5,5,0.6,0.07572017,757
11500,17,8.5,7.5,0.6,0.3,3000
11500,17,8.5,12,0.6,0.6,6000
11500,17,8.5,40,0.6,0.6,6000
11500,17,8.5,90,0.6,0.6,6000
11500,17,8.5,130,0.6,0.6,6000
11500,21.25,8.5,0,0.6,0,0
11500,21.25,8.5,3,0.6,0,0
11500,21.25,8.5,5,0.6,0.07572017,757
11500,21.25,8.5,7.5,0.6,0.3,3000
11500,21.25,8.5,12,0.6,0.6,6000
11500,21.25,8.5,40,0.6,0.6,6000
11500,21.25,8.5,90,0.6,0.6,6000
11500,21.25,8.5,130,0.6,0.6,6000
11500,29,8.5,0,0.6,0,0
11500,29,8.5,3,0.6,0,0
11500,29,8.5,5,0.6,0.07572017,757
11500,29,8.5,7.5,0.6,0.3,3000
11500,29,8.5,12,0.6,0.6,6000
11500,29,8.5,40,0.6,0.6,6000
11500,29,8.5,90,0.6,0.6,6000
11500,29,8.5,130,0.6,0.6,6000
11500,45,8.5,0,0.6,0,0
11500,45,8.5,3,0.6,0,0
11500,45,8.5,5,0.6,0.07572017,757
11500,45,8.5,7.5,0.6,0.3,3000
11500,45,8.5,12,0.6,0.6,6000
11500,45,8.5,40,0.6,0.6,6000
11500,45,8.5,90,0.6,0.6,6000
11500,45,8.5,130,0.6,0.6,6000
14000,0,8.5,0,1,0,0
14000,0,8.5,3,1,0,0
14000,0,8.5,5,1,0.1536351,1536
14000,0,8.5,7.5,1,0.6086956,6086
14000,0,8.5,12,1,1,10000
14000,0,8.5,40,1,1,10000
14000,0,8.5,90,1,1,10000
14000,0,8.5,130,1,1,10000
14000,4.25,8.5,0,0.9,0,0
14000,4.25,8.5,3,0.9,0,0
14000,4.25,8.5,5,0.9,0.1382716,1382
14000,4.25,8.5,7.5,0.9,0.5478261,5478
14000,4.25,8.5,12,0.9,1,10000
14000,4.25,8.5,40,0.9,1,10000
14000,4.25,8.5,90,0.9,1,10000
14000,4.25,8.5,130,0.9,1,10000
14000,8.5,8.5,0,0.8,0,0
14000,8.5,8.5,3,0.8,0,0
14000,8.5,8.5,5,0.8,0.1229081,1229
14000,8.5,8.5,7.5,0.8,0.4869565,4869
14000,8.5,8.5,12,0.8,0.973913,9739
14000,8.5,8.5,40,0.8,0.973913,9739
14000,8.5,8.5,90,0.8,0.973913,9739
14000,8.5,8.5,130,0.8,0.973913,9739
14000,12,8.5,0,0.7176471,0,0
14000,12,8.5,3,0.7176471,0,0
14000,12,8.5,5,0.7176471,0.1102558,1102
14000,12,8.5,7.5,0.7176471,0.4368286,4368
14000,12,8.5,12,0.7176471,0.8736573,8736
14000,12,8.5,40,0.7176471,0.8736573,8736
14000,12,8.5,90,0.7176471,0.8736573,8736
14000,12,8.5,130,0.7176471,0.8736573,8736
14000,17,8.5,0,0.6,0,0
14000,17,8.5,3,0.6,0,0
14000,17,8.5,5,0.6,0.09218107,921
14000,17,8.5,7.5,0.6,0.3652174,3652
14000,17,8.5,12,0.6,0.7304348,7304
14000,17,8.5,40,0.6,0.7304348,7304
14000,17,8.5,90,0.6,0.7304348,7304
14000,17,8.5,130,0.6,0.7304348,7304
14000,21.25,8.5,0,0.6,0,0
14000,21.25,8.5,3,0.6,0,0
14000,21.25,8.5,5,0.6,0.09218107,921
14000,21.25,8.5,7.5,0.6,0.3652174,3652
14000,21.25,8.5,12,0.6,0.7304348,7304
14000,21.25,8.5,40,0.6,0.7304348,7304
14000,21.25,8.5,90,0.6,0.7304348,7304
14000,21.25,8.5,130,0.6,0.7304348,7304
14000,29,8.5,0,0.6,0,0
14000,29,8.5,3,0.6,0,0
14000,29,8.5,5,0.6,0.09218107,921
14000,29,8.5,7.5,0.6,0.3652174,3652
14000,29,8.5,12,0.6,0.7304348,7304
14000,29,8.5,40,0.6,0.7304348,7304
14000,29,8.5,90,0.6,0.7304348,7304
14000,29,8.5,130,0.6,0.7304348,7304
14000,45,8.5,0,0.6,0,0
14000,45,8.5,3,0.6,0,0
14000,45,8.5,5,0.6,0.09218107,921
14000,45,8.5,7.5,0.6,0.3652174,3652
14000,45,8.5,12,0.6,0.7304348,7304
14000,45,8.5,40,0.6,0.7304348,7304
14000,45,8.5,90,0.6,0.7304348,7304
14000,45,8.5,130,0.6,0.7304348,7304
-3000,0,8.5,0,1,-0,0
-3000,0,8.5,3,1,-0,0
-3000,0,8.5,5,1,-0.03292181,-329
-3000,0,8.5,7.5,1,-0.1304348,-1304
-3000,0,8.5,12,1,-0.2608696,-2608
-3000,0,8.5,40,1,-0.2608696,-2608
-3000,0,8.5,90,1,-0.2608696,-2608
-3000,0,8.5,130,1,-0.2608696,-2608
-3000,4.25,8.5,0,0.9,-0,0
-3000,4.25,8.5,3,0.9,-0,0
-3000,4.25,8.5,5,0.9,-0.02962963,-296
-3000,4.25,8.5,7.5,0.9,-0.1173913,-1173
-3000,4.25,8.5,12,0.9,-0.2347826,-2347
-3000,4.25,8.5,40,0.9,-0.2347826,-2347
-3000,4.25,8.5,90,0.9,-0.2347826,-2347
-3000,4.25,8.5,130,0.9,-0.2347826,-2347
-3000,8.5,8.5,0,0.8,-0,0
-3000,8.5,8.5,3,0.8,-0,0
-3000,8.5,8.5,5,0.8,-0.02633745,-263
-3000,8.5,8.5,7.5,0.8,-0.1043478,-1043
-3000,8.5,8.5,12,0.8,-0.2086957,-2086
-3000,8.5,8.5,40,0.8,-0.2086957,-2086
-3000,8.5,8.5,90,0.8,-0.2086957,-2086
-3000,8.5,8.5,130,0.8,-0.2086957,-2086
-3000,12,8.5,0,0.7176471,-0,0
-3000,12,8.5,3,0.7176471,-0,0
-3000,12,8.5,5,0.7176471,-0.02362624,-236
-3000,12,8.5,7.5,0.7176471,-0.09360614,-936
-3000,12,8.5,12,0.7176471,-0.1872123,-1872
-3000,12,8.5,40,0.7176471,-0.1872123,-1872
-3000,12,8.5,90,0.7176471,-0.1872123,-1872
-3000,12,8.5,130,0.7176471,-0.1872123,-1872
-3000,17,8.5,0,0.6,-0,0
-3000,17,8.5,3,0.6,-0,0
-3000,17,8.5,5,0.6,-0.01975309,-197
-3000,17,8.5,7.5,0.6,-0.07826088,-782
-3000,17,8.5,12,0.6,-0.1565218,-1565
-3000,17,8.5,40,0.6,-0.1565218,-1565
-3000,17,8.5,90,0.6,-0.1565218,-1565
-3000,17,8.5,130,0.6,-0.1565218,-1565
-3000,21.25,8.5,0,0.6,-0,0
-3000,21.25,8.5,3,0.6,-0,0
-3000,21.25,8.5,5,0.6,-0.01975309,-197
-3000,21.25,8.5,7.5,0.6,-0.07826088,-782
-3000,21.25,8.5,12,0.6,-0.1565218,-1565
-3000,21.25,8.5,40,0.6,-0.1565218,-1565
-3000,21.25,8.5,90,0.6,-0.1565218,-1565
-3000,21.25,8.5,130,0.6,-0.1565218,-1565
-3000,29,8.5,0,0.6,-0,0
-3000,29,8.5,3,0.6,-0,0
-3000,29,8.5,5,0.6,-0.01975309,-197
-3000,29,8.5,7.5,0.6,-0.07826088,-782
-3000,29,8.5,12,0.6,-0.1565218,-1565
-3000,29,8.5,40,0.6,-0.1565218,-1565
-3000,29,8.5,90,0.6,-0.1565218,-1565
-3000,29,8.5,130,0.6,-0.1565218,-1565
-3000,45,8.5,0,0.6,-0,0
-3000,45,8.5,3,0.6,-0,0
-3000,45,8.5,5,0.6,-0.01975309,-197
-3000,45,8.5,7.5,0.6,-0.07826088,-782
-3000,45,8.5,12,0.6,-0.1565218,-1565
-3000,45,8.5,40,0.6,-0.1565218,-1565
-3000,45,8.5,90,0.6,-0.1565218,-1565
-3000,45,8.5,130,0.6,-0.1565218,-1565
-8800,0,8.5,0,1,-0,0
-8800,0,8.5,3,1,-0,0
-8800,0,8.5,5,1,-0.09657064,-965
-8800,0,8.5,7.5,1,-0.3826087,-3826
-8800,0,8.5,12,1,-0.7652174,-7652
-8800,0,8.5,40,1,-0.7652174,-7652
-8800,0,8.5,90,1,-0.7652174,-7652
-8800,0,8.5,130,1,-0.7652174,-7652
-8800,4.25,8.5,0,0.9,-0,0
-8800,4.25,8.5,3,0.9,-0,0
-8800,4.25,8.5,5,0.9,-0.08691358,-869
-8800,4.25,8.5,7.5,0.9,-0.3443478,-3443
-8800,4.25,8.5,12,0.9,-0.6886957,-6886
